,Symbol,Name
1,AAMC,Altisource Asset Management Corp
2,AAU,"Almaden Minerals, Ltd."
3,ABE,Aberdeen Emerging Markets Smaller Company Opportunities Fund I
4,ACU,Acme United Corporation.
5,ACY,AeroCentury Corp.
6,ADGE,American DG Energy Inc.
7,ADK,Adcare Health Systems Inc
8,ADK-PA,Adcare Health Systems Inc
9,AE,"Adams Resources & Energy, Inc."
10,AIII,"ACRE Realty Investors, Inc."
11,AINC,Ashford Inc.
12,AIRI,Air Industries Group
13,AKG,Asanko Gold Inc.
14,ALN,American Lorain Corporation
15,AMPE,"Ampio Pharmaceuticals, Inc."
16,AMS,American Shared Hospital Services
17,APHB,AmpliPhi Biosciences Corporation
18,APT,"Alpha Pro Tech, Ltd."
19,ARNC-P,Arconic Inc.
20,ASM,Avino Silver
21,AST,"Asterias Biotherapeutics, Inc."
22,ATEST,NASDAQ TEST STOCK
23,ATNM,"Actinium Pharmaceuticals, Inc."
24,AUMN,Golden Minerals Company
25,AWX,Avalon Holdings Corporation
26,AXN,"Aoxing Pharmaceutical Company, Inc."
27,AXU,Alexco Resource Corp
28,BAA,BANRO CORPORATION
29,BCV,Bancroft Fund Limited
30,BCV-PA,Bancroft Fund Limited
31,BDL,"Flanigan&#39;s Enterprises, Inc."
32,BDR,"Blonder Tongue Laboratories, Inc."
33,BFY,BlackRock New York Municipal Income Trust II
34,BGI,Birks Group Inc.
35,BGSF,BG Staffing Inc
36,BHB,"Bar Harbor Bankshares, Inc."
37,BHV,BlackRock Virginia Municipal Bond Trust
38,BKJ,"Bancorp of New Jersey, Inc"
39,BLE,BlackRock Municipal Income Trust II
40,BLJ,Blackrock New Jersey Municipal Bond Trust
41,BPMX,BioPharmX Corporation
42,BRG,"Bluerock Residential Growth REIT, Inc."
43,BRG-PA,"Bluerock Residential Growth REIT, Inc."
44,BRG-PC,"Bluerock Residential Growth REIT, Inc."
45,BRG-PD,"Bluerock Residential Growth REIT, Inc."
46,BRN,"Barnwell Industries, Inc."
47,BTG,B2Gold Corp
48,BTI,British American Tobacco p.l.c.
49,BTN,"Ballantyne Strong, Inc"
50,BTX,"BioTime, Inc."
51,BVX,Bovie Medical Corporation
52,BZM,BlackRock Maryland Municipal Bond Trust
53,CANF,Can-Fite Biopharma Ltd
54,CAW,"CCA Industries, Inc."
55,CCA,MFS California Insured Municipal Trust
56,CCF,Chase Corporation
57,CEF,Central Fund of Canada Limited
58,CEI,"Camber Energy, Inc."
59,CET,Central Securities Corporation
60,CEV,Eaton Vance California Municipal Income Trust
61,CH,"Aberdeen Chile Fund, Inc."
62,CIK,"Credit Suisse Asset Management Income Fund, Inc."
63,CIX,CompX International Inc.
64,CKX,"CKX Lands, Inc."
65,CLM,"Cornerstone Strategic Value Fund, Inc."
66,CMT,Core Molding Technologies Inc
67,CPHI,"China Pharma Holdings, Inc."
68,CQH,"Cheniere Energy Partners LP Holdings, LLC"
69,CQP,"Cheniere Energy Partners, LP"
70,CRF,"Cornerstone Strategic Return Fund, Inc. (The)"
71,CRHM,CRH Medical Corporation
72,CRMD,CorMedix Inc
73,CRVP,"Crystal Rock Holdings, Inc."
74,CTO,Consolidated-Tomoka Land Co.
75,CUO,Continental Materials Corporation
76,CVM,Cel-Sci Corporation
77,CVR,Chicago Rivet & Machine Co.
78,CVRS,"Corindus Vascular Robotics, Inc."
79,CVU,"CPI Aerostructures, Inc."
80,DGSE,"DGSE Companies, Inc."
81,DHY,Credit Suisse High Yield Bond Fund
82,DIT,AMCON Distributing Company
83,DLA,"Delta Apparel, Inc."
84,DMF,"Dreyfus Municipal Income, Inc."
85,DNN,Denison Mine Corp
86,DPW,Digital Power Corporation
87,DSS,"Document Security Systems, Inc."
88,DXR,Daxor Corporation
89,EAD,Wells Fargo Income Opportunities Fund
90,ECF,Ellsworth Growth and Income Fund Ltd.
